id,name,created_at,updated_at,country_id,sector_id,related_companies,industry_id,bhrrc_url,latest_statement_for_compliance_stats_id,company_number
NEW5335,2 Moto Limited,,,1533,,,,,,8231834
NEW5337,3 Step IT (UK) Limited,,,1533,,,,,,5476079
NEW5339,4com PLC,,,1533,,,,,,6472837
NEW5341,A. & H. Construction And Developments PLC,,,1533,,,,,,2580900
NEW5345,A.J. Morrisroe & Sons Limited,,,1533,,,,,,1300615
NEW5347,A.K. Stoddart Limited,,,1533,,,,,,SC033785
NEW5348,A.W. & D. Hammond Limited,,,1533,,,,,,989239
NEW5350,A24 Group Limited,,,1533,,,,,,3262419
NEW5353,AB World Foods Limited,,,1533,,,,,,1400901
NEW5355,Abbey Garages (Cardiff) Limited,,,1533,,,,,,1403368
NEW5363,Abnormal Load Engineering Limited,,,1533,,,,,,1708850
NEW5365,Academy Transformation Trust,,,1533,,,,,,7846852
NEW5369,Accord Marketing Limited,,,1533,,,,,,3874258
NEW5372,Achilles Group Holdings Limited,,,1533,,,,,,6551749
NEW5373,ACI Worldwide (Emea) Limited,,,1533,,,,,,2310474
NEW5376,Act*1 Services Limited,,,1533,,,,,,6417126
NEW5380,Activtrades PLC,,,1533,,,,,,5367727
NEW5395,Advanced Payment Solutions Limited,,,1533,,,,,,4947027
NEW5396,Advanced Supply Chain Group Limited,,,1533,,,,,,7889139
NEW5397,Advantage Finance Limited,,,1533,,,,,,3773673
NEW5400,AEG Presents Ltd,,,1533,,,,,,5452230
NEW5404,Affco Europe Limited,,,1533,,,,,,4834758
NEW5407,AFH Stores UK Limited,,,1533,,,,,,6423604
NEW5411,Agco Limited,,,1533,,,,,,509133
NEW5412,Agetur (U.K.) Limited,,,1533,,,,,,3726044
NEW5419,Ahlstrom-Munksjo Chirnside Limited,,,1533,,,,,,4033572
NEW5420,Ahmad Tea (UK) Limited,,,1533,,,,,,8807852
NEW5424,Air Business Limited,,,1533,,,,,,1977067
NEW5425,Air Charter Service Group Limited,,,1533,,,,,,4028491
NEW5430,Airsprung Group PLC,,,1533,,,,,,1277785
NEW5431,AKO Capital LLP,,,1533,,,,,,OC312612
NEW5434,Al Rayan Bank PLC,,,1533,,,,,,4483430
NEW5435,Albany Products Limited,,,1533,,,,,,4397624
NEW5436,Albea UK Limited,,,1533,,,,,,61652
NEW5442,Alec Jarrett Limited,,,1533,,,,,,723594
NEW5445,Alexion Pharma UK Limited,,,1533,,,,,,5970106
NEW5447,Alfa Laval Limited,,,1533,,,,,,187261
NEW5448,Alfendo Limited,,,1533,,,,,,460932
NEW5453,All Response Media Limited,,,1533,,,,,,3056950
NEW5456,Allchurches Trust Limited,,,1533,,,,,,1043742
NEW5459,Allied Glass Containers Limited,,,1533,,,,,,3846688
NEW5464,Alpha Financial Markets Consulting PLC,,,1533,,,,,,9965297
NEW5466,Alpha Plus Group Limited,,,1533,,,,,,438111
NEW5470,Alpro (UK) Limited,,,1533,,,,,,3708934
NEW5471,Alsford Timber Limited,,,1533,,,,,,2827724
NEW5474,Altodigital Networks Limited,,,1533,,,,,,6380200
NEW5476,Altus Intervention Limited,,,1533,,,,,,SC225200
NEW5478,Alzheimer's Society,,,1533,,,,,,2115499
NEW5483,Ameon Limited,,,1533,,,,,,3167223
NEW5484,American School In London Educational Trust Limited(The),,,1533,,,,,,784923
NEW5491,Amoria Bond Limited,,,1533,,,,,,5895820
NEW5492,Amsafe Bridport Limited,,,1533,,,,,,140449
NEW5493,AMT Fruit Limited,,,1533,,,,,,6834698
NEW5495,Anasuria Hibiscus UK Limited,,,1533,,,,,,9696268
NEW5497,Andreas Stihl Limited,,,1533,,,,,,1376302
NEW5498,Andrews Sykes Group PLC,,,1533,,,,,,175912
NEW5499,Andros UK Limited,,,1533,,,,,,6661569
NEW5508,Animalcare Group PLC,,,1533,,,,,,1058015
NEW5513,Ansaldo Nuclear Limited,,,1533,,,,,,4959394
NEW5519,AP Racing Limited,,,1533,,,,,,3794633
NEW5521,Apex Car Rental PLC,,,1533,,,,,,2207034
NEW5523,Apioil UK Limited,,,1533,,,,,,1784532
NEW5525,Apleona HSG Limited,,,1533,,,,,,4073907
NEW5526,Appt Corporation Limited,,,1533,,,,,,5812951
NEW5527,Aprite (GB) Limited,,,1533,,,,,,3261643
NEW5529,AQA Education,,,1533,,,,,,3644723
NEW5530,Aqualisa Products Limited,,,1533,,,,,,1281596
NEW5531,Aquascot Limited,,,1533,,,,,,SC262080
NEW5532,Aquila Air Traffic Management Services Limited,,,1533,,,,,,9256777
NEW5533,Aramex (UK) Limited,,,1533,,,,,,2025299
NEW5534,Arbonne UK Limited,,,1533,,,,,,5755179
NEW5537,Architas Multi-Manager Limited,,,1533,,,,,,6458717
NEW5541,Ardent Tide Ltd,,,1533,,,,,,7196417
NEW5545,Argent Energy (UK) Limited,,,1533,,,,,,SC220609
NEW5547,Aristocrat Technologies Europe Limited,,,1533,,,,,,3207287
NEW5551,Arlington Automotive Limited,,,1533,,,,,,8554261
NEW5552,Armitages Pet Products Limited,,,1533,,,,,,658577
NEW5553,Armstrong Richardson & Co.Limited,,,1533,,,,,,206334
NEW5559,Arrows Group Global Limited,,,1533,,,,,,9211643
NEW5560,Arthur David (Food With Service) Limited,,,1533,,,,,,2059424
NEW5567,Asendia UK Limited,,,1533,,,,,,5029372
NEW5568,Ash & Lacy Holdings Limited,,,1533,,,,,,7693633
NEW5569,Ashe Group Holdings Limited,,,1533,,,,,,1068783
NEW5571,Ashleigh (Scotland) Limited,,,1533,,,,,,SC214691
NEW5573,Ashworth And Parker Limited,,,1533,,,,,,6866013
NEW5575,ASM Technologies Limited,,,1533,,,,,,2753443
NEW5577,Asos.Com Limited,,,1533,,,,,,3584121
NEW5589,Assystem UK Limited,,,1533,,,,,,1147167
NEW5593,Aston & Fincher Limited,,,1533,,,,,,970902
NEW5594,Aston Manor Limited,,,1533,,,,,,1699439
NEW5595,Astrea Academy Trust,,,1533,,,,,,9791051
NEW5598,Atlantic Steel Processing Limited,,,1533,,,,,,4141157
NEW5599,Atlantica Yield PLC,,,1533,,,,,,8818211
NEW5603,Atlas FM Limited,,,1533,,,,,,6883247
NEW5605,ATP Media Operations Limited,,,1533,,,,,,3650220
NEW5607,Attheraces Limited,,,1533,,,,,,3896585
NEW5610,Autodesk Limited,,,1533,,,,,,1839239
NEW5612,Aviate Management Limited,,,1533,,,,,,6745115
NEW5614,AVL United Kingdom Limited,,,1533,,,,,,1067795
NEW5620,Axiom MS Limited,,,1533,,,,,,6658769
NEW5621,Axis Bank UK Limited,,,1533,,,,,,7554558
NEW5622,Axis Group Integrated Services Limited,,,1533,,,,,,9792798
NEW5623,Axis Security Services Limited,,,1533,,,,,,2933907
NEW5624,Axminster Tool Centre Ltd,,,1533,,,,,,3326979
NEW5625,Axon Solutions Limited,,,1533,,,,,,2976395
NEW5626,Azumi Limited,,,1533,,,,,,4163938
NEW5627,B & K Building Services Limited,,,1533,,,,,,1498712
NEW5631,B.B. Energy Trading Limited,,,1533,,,,,,4511776
NEW5632,B.H.C. Limited,,,1533,,,,,,NI029649
NEW5638,Badoo Trading Limited,,,1533,,,,,,7540255
NEW5640,Baird & CO. Limited,,,1533,,,,,,2269558
NEW5642,Bairds Malt Limited,,,1533,,,,,,3580592
NEW5643,Balkan Holidays Limited,,,1533,,,,,,886808
NEW5646,Balyasny Europe Asset Management LLP,,,1533,,,,,,OC308795
NEW5651,Banner Limited,,,1533,,,,,,7464584
NEW5652,Barchester Healthcare Homes Limited,,,1533,,,,,,2849519
NEW5654,Barclay & Mathieson Limited,,,1533,,,,,,SC030987
NEW5655,Barclay Pharmaceuticals Limited,,,1533,,,,,,2770716
NEW5657,Baringa Partners LLP,,,1533,,,,,,OC303471
NEW5658,Barker & Stonehouse Limited,,,1533,,,,,,937498
NEW5659,Barlow Motors Limited,,,1533,,,,,,5583716
NEW5661,Barnetts Motor Group Limited,,,1533,,,,,,SC041941
NEW5662,Barnfield Construction Limited,,,1533,,,,,,2365913
NEW5663,Barony Universal Products PLC,,,1533,,,,,,SC201867
NEW5669,Barwick Bathroom Distribution LLP,,,1533,,,,,,OC316484
