MSR Company ID,Companies House Number
6943,2679915
6962,4342466
6972,11347007
29562,4933572
29558,10136815
29554,10201446
29557,10201754
29556,10201437
29555,10136400
29561,1588592
29563,1739247
29560,4240392
29559,3975911
22905,3196207
26698,109354
24485,2523354
28442,2404350
28437,114841
28443,2005266
28444,2328559
28445,2328467
28439,1990871
28448,2141078
28438,523376
28449,4165861
28434,4337712
28451,2116519
28441,84167
28436,3979826
28452,2880012
28453,3007939
28435,4402048
6992,444569
22907,2938506
23491,525071
23872,3729804
23873,53237
23876,4271599
23874,434487
23875,6323462
7009,780606
25778,10323613
25795,1485988
25804,8754845
25772,2341058
25808,5529357
25842,FC017301
25815,11423252
25821,2512079
25823,FC020915
25824,5944260
25662,439733
25666,1752680
25692,SL011986
25693,8349443
25686,SC437890
25695,860093
25706,967924
25710,8754830
26704,3887962
26705,3954520
26706,3196204
26707,SC046710
26708,9329025
26710,6717269
26711,3493110
26712,SC220243
26713,SC333105
29412,3086376
26714,4278474
26715,3776034
26716,245626
26717,2999826
26718,SC099884
26719,2817838
26720,434529
26721,3975999
26722,4094249
26723,SC101959
26779,613551
24873,SC069524
24871,SC084807
24872,SC182496
23503,SC007058
24630,2958399
27104,1118580
27105,1835691
27106,827982
24632,2072264
24633,2474912
24631,3236121
26440,1026167
26441,9740322
26439,1929333
26448,6577136
26438,973765
26450,898129
26444,2522321
26442,4559179
26443,7450219
26447,2895722
26445,6817403
26446,OC359978
26437,6991560
26436,2752982
24925,6955416
24926,6955414
23795,3158011
23794,2234535
23796,7108893
7035,61625
7037,6994842
28633,OC403495
28631,OC320725
28625,3018173
28629,OC391234
28626,830271
28632,OC386075
28628,OC384730
28630,9437418
28627,948402
7042,2496869
28391,1420028
28392,9463829
26017,SC119227
24687,2590468
24688,3190056
27326,10627446
7088,4356509
7089,IP26751R
25250,3626135
25248,5959432
25247,4546335
25249,6003756
25246,2609100
7091,6071848
24378,785922
24379,5396147
28621,134409
28622,221104
28619,239762
28615,5203401
28623,9913893
28616,6238103
28614,262254
28613,74974
28620,6201979
28617,2346565
28618,5203113
28624,6665343
7106,RC000060
24973,167542
7108,699547
7112,IP27656R
7121,7444626
24812,2216369
24815,3643789
29694,4458720
29696,4868493
29697,4251948
29693,4251867
29698,4251951
29691,230931
29692,4288292
29695,3509143
22923,4269717
22924,6599902
28394,6372802
28395,187655
28396,2180957
22927,2071658
24817,4355631
24968,4595982
7159,5587269
24374,2654822
24375,1232680
22930,5203226
7199,2786425
26894,4545124
26893,885496
22938,3773684
22939,1644127
22932,195626
22935,4263175
22933,935949
22934,6377532
22936,1715185
22937,2242204
7216,12377248
7232,3719092
22940,677665
27710,5562700
26238,173274
7255,5103813
7265,6134912
7270,3259922
25539,3251167
7271,6337457
22941,4218278
22942,5560211
23471,1001101
7303,6634464
7305,NF003048
7309,7386086
25268,8404271
25267,1914888
24849,2142673
7323,2098720
23539,529964
27192,5562058
27193,9887429
24508,4883589
27190,7821375
27191,10664625
24509,5199937
27194,4409377
24511,7126582
7351,7368912
7358,867944
22950,2258069
22948,2819088
22947,2813369
22949,3905538
25157,1985419
25158,2003539
25155,184628
25156,716672
26001,4236804
25999,2366963
26002,2462479
25611,9213524
7391,RC000555
25990,3458317
22959,1802466
22958,2349713
22955,2016555
22956,2015142
22957,6121251
22954,1629709
25492,3261484
25482,3261587
25485,133884
25484,257815
25483,1961457
25493,SC097299
25494,SC127012
25490,5113733
25488,1999120
25496,2818607
25491,7900320
25495,2862042
25489,5154485
25499,2332529
25486,25088
25497,1990370
25498,2819207
25487,2822184
22961,3951235
23901,3027454
7439,RS007523
26901,7837246
7469,4944719
7476,IP031241
7485,262958
22962,3775284
25320,2328489
23458,4860660
23459,1742404
22965,4551459
24519,NI071100
24520,NI071467
7502,IP30045R
23784,611070
7505,SC424067
22967,3298903
22973,7426985
22968,5265451
22974,5265454
22971,3324496
22972,3324493
22975,SC181811
22976,4320672
22977,4271971
22978,4872028
22979,4872039
22980,4914762
22981,4271973
22982,4271748
22984,7662211
22985,5699544
22983,7662835
22986,5269240
22988,5266811
22987,7662502
22989,4341771
22990,5746068
22991,5266779
22992,5267589
22966,5320993
22969,7427021
25012,5064182
22996,FC033687
22998,9012245
22997,FC035668
22994,7964930
22993,7112363
7513,623420
7514,5016914
7522,IP16324R
7534,267189
25014,2809261
24351,2456711
24352,2880202
24353,1390361
7544,11584480
27066,7525975
25028,571289
7561,RC000769
7577,5749092
25232,3289418
25233,1887872
25234,2763500
28677,2845800
28679,1113112
28680,229341
28682,14259
28683,1503727
28684,2815114
28685,5639234
28686,7272547
28687,9231974
28688,956325
28689,3141245
28681,759657
28690,88695
28691,1656361
28692,499482
28675,9928412
28676,10587192
28693,1772585
7588,10667233
28109,6249799
28112,2937399
28111,10687298
28110,3612207
7604,2234775
25205,1385613
24355,2518546
27556,10432005
27555,10432339
7633,534147
29100,1134945
26808,450103
26811,10289327
26810,6954059
26809,2721627
7661,2447900
28635,9316933
28636,11148531
25045,SC035640
25042,4496566
24994,6150193
24995,6156953
24993,2009040
28660,4830352
28659,5639474
28658,2205323
25124,NI622515
25126,NI622516
25418,SC077607
26386,10487343
26387,2180706
26384,2180728
26385,3816217
26383,9919590
23006,4438273
23007,4099265
27282,2099533
27283,4407754
27284,2624887
