Modern Slavery Registry ID,Companies House Number
7676,05005018
21062,05429800
22600,08929070
8986,05448411
28119,09411165
27750,SC156515
6883,04530131
6884,01142830
9861,01123045
27952,08781764
22377,07462194
28130,03084570
22104,00580331
17135,00415632
10719,00391135
6917,SC005653
22589,01472970
21749,01445830
18306,00689647
9619,05403001
6922,00485890
26260,05625494
22654,00944763
22024,00799448
10372,05832836
9735,06511662
28138,05585321
6887,00123458
24498,05148845
17312,03551533
8505,05149111
26300,03193203
18478,02151516
9987,04207663
6888,00193800
18821,08475531
16948,00348843
16754,02484251
26766,01071951
26584,00329102
9970,08004972
6891,03509322
8506,08193420
10172,02564490
17130,03926343
9857,07861414
6892,06428369
26424,01082430
6885,00538043
8968,03061379
17350,02134749
6894,09234078
6895,04771037
18837,03463738
6897,04757301
26920,06564281
18008,03959429
8507,02343760
16783,04141140
17785,00137407
10796,04596349
22395,09019496
19021,09932435
18583,07384107
16784,05381786
24948,08424637
21182,03725308
18225,02252821
25273,09330398
26700,03688878
10874,NI622641
9455,06551844
22890,10986364
18039,02593771
6899,03358533
9633,00910010
16686,04231212
25207,OC370074
10453,OC305927
22619,02461547
16752,07903002
8508,07278867
19007,03594984
6903,02732176
26968,01610897
8980,02814431
18806,01307597
25878,08486509
22298,01205530
6905,OC318149
6906,05998337
18097,00593232
16949,04272608
9357,01075951
10484,09091944
8809,09366043
9158,03849958
18794,03097389
6907,05438628
9123,00031114
16908,SC101089
24618,04731426
9440,05965280
18454,02512288
22754,08362565
16838,02867684
6971,04881405
8509,07169369
9736,03341461
17662,09506907
16839,05905651
21253,03033609
17857,02342186
27517,00387352
28376,07984021
9144,03413859
21741,04191976
21225,01129495
8920,00392743
26275,06350087
25305,02101607
26765,03554885
18839,05956141
6914,06632170
6915,03872673
10960,05180470
26267,09805034
22672,09805030
10010,09933767
9427,02546950
21473,08434613
17877,04296141
26567,03872754
6919,03825057
9318,01093301
6920,10640672
9571,06317215
9192,00245717
9166,SC177553
10243,08815891
9787,04327369
27274,07930606
7493,02446884
24367,SC366018
6918,08087453
22350,03687920
26381,00713606
6921,09201991
10176,00877859
18305,02544399
28098,04665011
8807,01486260
10423,06367921
22209,10502763
18840,03245223
26277,08447836
18611,09591093
25415,05188753
21707,00401523
22868,07797907
16954,02525806
17137,01149113
26259,08368496
18841,00550374
17138,09913704
27842,06279650
6926,03009359
6886,00551460
10508,01458245
6927,05246035
21107,02764920
17941,02649656
22248,03279517
21697,SC037896
26846,01113447
17697,02905244
18844,09793309
24620,06955372
10342,03120091
28016,00987418
8511,02378070
23484,00947662
6931,06764335
8871,02321869
18098,SC268016
10940,02073305
26519,05501999
9577,02482325
6932,09608912
21200,00117129
6933,00191031
18989,00900322
18908,03257713
25108,01945874
18846,04560445
18754,09071203
24535,OC359683
22272,03203247
18847,02876353
9453,OC306763
26314,04782818
17780,07546718
9000,05115229
10365,01049760
18190,03430230
26492,00998035
17139,02551144
9167,08601376
9168,04241478
8743,05134436
23241,03947280
6936,00214377
6935,11562065
6937,OC404597
21359,01159685
6938,02814942
6939,00772941
9581,04096157
16955,OC315531
17141,02631112
16761,04316537
10809,NI041551
22434,04192990
17698,03282075
22721,06534480
6940,01952031
18647,05347533
24610,02849400
6942,08462831
21133,08837616
28211,02095101
17142,10706663
8512,03302507
6944,01493087
22893,00154159
6945,01767387
6946,01493003
17144,04225691
9393,01063206
22823,02276684
26330,04040059
8513,00995892
10500,00244159
24067,02023155
17989,07046007
26676,06818708
26533,07191982
9909,02209437
6949,02684652
6950,SC338013
6951,01675285
10621,01833139
9445,04030166
25189,08717850
27072,00958007
25192,00462578
27073,08121168
25187,03612746
10466,04736639
8514,08269137
16698,02354269
28095,SC244104
23912,00345279
8697,06994954
6954,IP030786
21986,02770878
10916,02303706
22894,01229676
28644,FC025334
25239,04247476
21616,01561946
21710,00475853
10896,00874026
24137,00974889
10429,00249879
16615,07443091
23747,03086378
10769,02912655
6957,04233823
6958,10171311
25626,00031801
10121,07376913
22152,03017251
6959,02366656
6960,02540020
9835,03564138
18812,07660429
24816,06726161
6961,SC185769
17512,00248952
21376,08271384
25206,03232852
6963,02246366
17909,01034349
28086,05946260
6964,05744468
9200,04350252
18099,03176761
18849,01088345
6966,01627889
9927,00435323
26489,04050391
25911,07857409
26760,03127195
8900,00210725
6968,05525751
9414,OC303117
8515,02572947
17147,00233851
27897,SC073489
9206,00169249
24895,00173955
9588,00750484
10427,02853595
23488,01483208
18858,09181578
17470,01791158
27120,07105073
27123,07062201
18513,02135425
9593,06517986
16892,07896680
9693,05511334
18280,02090807
18342,07442871
18541,02808311
8517,00983951
8518,08219992
18068,00501259
17404,01954085
24748,01016191
6974,00237511
